Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Zimbabwe,Pakistan,no result,,Bulawayo,"Mar 4, 2003",ODI # 1980
Kenya,West Indies,West Indies,142 runs,Kimberley,"Mar 4, 2003",ODI # 1981
Australia,Sri Lanka,Australia,96 runs,Centurion,"Mar 7, 2003",ODI # 1982
India,Kenya,India,6 wickets,Cape Town,"Mar 7, 2003",ODI # 1983
New Zealand,Zimbabwe,New Zealand,6 wickets,Bloemfontein,"Mar 8, 2003",ODI # 1984
India,Sri Lanka,India,183 runs,Johannesburg,"Mar 10, 2003",ODI # 1985
Australia,New Zealand,Australia,96 runs,Port Elizabeth,"Mar 11, 2003",ODI # 1986
Kenya,Zimbabwe,Kenya,7 wickets,Bloemfontein,"Mar 12, 2003",ODI # 1987
India,New Zealand,India,7 wickets,Centurion,"Mar 14, 2003",ODI # 1988
Sri Lanka,Zimbabwe,Sri Lanka,74 runs,East London,"Mar 15, 2003",ODI # 1989
Australia,Kenya,Australia,5 wickets,Durban,"Mar 15, 2003",ODI # 1990
Australia,Sri Lanka,Australia,48 runs,Port Elizabeth,"Mar 18, 2003",ODI # 1991
India,Kenya,India,91 runs,Durban,"Mar 20, 2003",ODI # 1992
Australia,India,Australia,125 runs,Johannesburg,"Mar 23, 2003",ODI # 1993
West Indies,Pakistan,West Indies,54 runs,Kingston,"Mar 13, 2007",ODI # 2531
Australia,Scotland,Australia,203 runs,Basseterre,"Mar 14, 2007",ODI # 2532
Canada,Kenya,Kenya,7 wickets,Gros Islet,"Mar 14, 2007",ODI # 2533
Bermuda,Sri Lanka,Sri Lanka,243 runs,Port of Spain,"Mar 15, 2007",ODI # 2534
Ireland,Zimbabwe,tied,,Kingston,"Mar 15, 2007",ODI # 2535
England,New Zealand,New Zealand,6 wickets,Gros Islet,"Mar 16, 2007",ODI # 2536
Netherlands,South Africa,South Africa,221 runs,Basseterre,"Mar 16, 2007",ODI # 2537
Bangladesh,India,Bangladesh,5 wickets,Port of Spain,"Mar 17, 2007",ODI # 2538
Ireland,Pakistan,Ireland,3 wickets,Kingston,"Mar 17, 2007",ODI # 2539
Australia,Netherlands,Australia,229 runs,Basseterre,"Mar 18, 2007",ODI # 2540
Canada,England,England,51 runs,Gros Islet,"Mar 18, 2007",ODI # 2541
Bermuda,India,India,257 runs,Port of Spain,"Mar 19, 2007",ODI # 2542
West Indies,Zimbabwe,West Indies,6 wickets,Kingston,"Mar 19, 2007",ODI # 2543
Kenya,New Zealand,New Zealand,148 runs,Gros Islet,"Mar 20, 2007",ODI # 2544
Scotland,South Africa,South Africa,7 wickets,Basseterre,"Mar 20, 2007",ODI # 2545
Bangladesh,Sri Lanka,Sri Lanka,198 runs,Port of Spain,"Mar 21, 2007",ODI # 2546
Pakistan,Zimbabwe,Pakistan,93 runs,Kingston,"Mar 21, 2007",ODI # 2547
Canada,New Zealand,New Zealand,114 runs,Gros Islet,"Mar 22, 2007",ODI # 2548
Netherlands,Scotland,Netherlands,8 wickets,Basseterre,"Mar 22, 2007",ODI # 2549
India,Sri Lanka,Sri Lanka,69 runs,Port of Spain,"Mar 23, 2007",ODI # 2550
West Indies,Ireland,West Indies,8 wickets,Kingston,"Mar 23, 2007",ODI # 2551
Australia,South Africa,Australia,83 runs,Basseterre,"Mar 24, 2007",ODI # 2552
England,Kenya,England,7 wickets,Gros Islet,"Mar 24, 2007",ODI # 2553
Bangladesh,Bermuda,Bangladesh,7 wickets,Port of Spain,"Mar 25, 2007",ODI # 2554
West Indies,Australia,Australia,103 runs,North Sound,"Mar 27-28, 2007",ODI # 2555
South Africa,Sri Lanka,South Africa,1 wicket,Providence,"Mar 28, 2007",ODI # 2556
West Indies,New Zealand,New Zealand,7 wickets,North Sound,"Mar 29, 2007",ODI # 2557
England,Ireland,England,48 runs,Providence,"Mar 30, 2007",ODI # 2558
Australia,Bangladesh,Australia,10 wickets,North Sound,"Mar 31, 2007",ODI # 2559
West Indies,Sri Lanka,Sri Lanka,113 runs,Providence,"Apr 1, 2007",ODI # 2560
Bangladesh,New Zealand,New Zealand,9 wickets,North Sound,"Apr 2, 2007",ODI # 2561
Ireland,South Africa,South Africa,7 wickets,Providence,"Apr 3, 2007",ODI # 2562
England,Sri Lanka,Sri Lanka,2 runs,North Sound,"Apr 4, 2007",ODI # 2563
Bangladesh,South Africa,Bangladesh,67 runs,Providence,"Apr 7, 2007",ODI # 2564
Australia,England,Australia,7 wickets,North Sound,"Apr 8, 2007",ODI # 2565
Ireland,New Zealand,New Zealand,129 runs,Providence,"Apr 9, 2007",ODI # 2566
West Indies,South Africa,South Africa,67 runs,St George's,"Apr 10, 2007",ODI # 2567
Bangladesh,England,England,4 wickets,Bridgetown,"Apr 11, 2007",ODI # 2568
New Zealand,Sri Lanka,Sri Lanka,6 wickets,St George's,"Apr 12, 2007",ODI # 2569
Australia,Ireland,Australia,9 wickets,Bridgetown,"Apr 13, 2007",ODI # 2570
New Zealand,South Africa,New Zealand,5 wickets,St George's,"Apr 14, 2007",ODI # 2571
Bangladesh,Ireland,Ireland,74 runs,Bridgetown,"Apr 15, 2007",ODI # 2572
Australia,Sri Lanka,Australia,7 wickets,St George's,"Apr 16, 2007",ODI # 2573
England,South Africa,South Africa,9 wickets,Bridgetown,"Apr 17, 2007",ODI # 2574
Ireland,Sri Lanka,Sri Lanka,8 wickets,St George's,"Apr 18, 2007",ODI # 2575
West Indies,Bangladesh,West Indies,99 runs,Bridgetown,"Apr 19, 2007",ODI # 2576
Australia,New Zealand,Australia,215 runs,St George's,"Apr 20, 2007",ODI # 2577
West Indies,England,England,1 wicket,Bridgetown,"Apr 21, 2007",ODI # 2578
New Zealand,Sri Lanka,Sri Lanka,81 runs,Kingston,"Apr 24, 2007",ODI # 2579
Australia,South Africa,Australia,7 wickets,Gros Islet,"Apr 25, 2007",ODI # 2580
Australia,Sri Lanka,Australia,53 runs,Bridgetown,"Apr 28, 2007",ODI # 2581
Bangladesh,India,India,87 runs,Dhaka,"Feb 19, 2011",ODI # 3100
Kenya,New Zealand,New Zealand,10 wickets,Chennai,"Feb 20, 2011",ODI # 3101
Sri Lanka,Canada,Sri Lanka,210 runs,Hambantota,"Feb 20, 2011",ODI # 3102
Australia,Zimbabwe,Australia,91 runs,Ahmedabad,"Feb 21, 2011",ODI # 3103
England,Netherlands,England,6 wickets,Nagpur,"Feb 22, 2011",ODI # 3104
Kenya,Pakistan,Pakistan,205 runs,Hambantota,"Feb 23, 2011",ODI # 3105
South Africa,West Indies,South Africa,7 wickets,Delhi,"Feb 24, 2011",ODI # 3106
Australia,New Zealand,Australia,7 wickets,Nagpur,"Feb 25, 2011",ODI # 3107
Bangladesh,Ireland,Bangladesh,27 runs,Dhaka,"Feb 25, 2011",ODI # 3108
Sri Lanka,Pakistan,Pakistan,11 runs,Colombo (RPS),"Feb 26, 2011",ODI # 3109
India,England,tied,,Bengaluru,"Feb 27, 2011",ODI # 3110
Canada,Zimbabwe,Zimbabwe,175 runs,Nagpur,"Feb 28, 2011",ODI # 3111
Netherlands,West Indies,West Indies,215 runs,Delhi,"Feb 28, 2011",ODI # 3112
Sri Lanka,Kenya,Sri Lanka,9 wickets,Colombo (RPS),"Mar 1, 2011",ODI # 3113
England,Ireland,Ireland,3 wickets,Bengaluru,"Mar 2, 2011",ODI # 3114
Netherlands,South Africa,South Africa,231 runs,Mohali,"Mar 3, 2011",ODI # 3115
Canada,Pakistan,Pakistan,46 runs,Colombo (RPS),"Mar 3, 2011",ODI # 3116
New Zealand,Zimbabwe,New Zealand,10 wickets,Ahmedabad,"Mar 4, 2011",ODI # 3117
Bangladesh,West Indies,West Indies,9 wickets,Dhaka,"Mar 4, 2011",ODI # 3118
Sri Lanka,Australia,no result,,Colombo (RPS),"Mar 5, 2011",ODI # 3119
England,South Africa,England,6 runs,Chennai,"Mar 6, 2011",ODI # 3120
India,Ireland,India,5 wickets,Bengaluru,"Mar 6, 2011",ODI # 3121
Canada,Kenya,Canada,5 wickets,Delhi,"Mar 7, 2011",ODI # 3122
New Zealand,Pakistan,New Zealand,110 runs,Pallekele,"Mar 8, 2011",ODI # 3123
India,Netherlands,India,5 wickets,Delhi,"Mar 9, 2011",ODI # 3124
Sri Lanka,Zimbabwe,Sri Lanka,139 runs,Pallekele,"Mar 10, 2011",ODI # 3125
Ireland,West Indies,West Indies,44 runs,Mohali,"Mar 11, 2011",ODI # 3126
Bangladesh,England,Bangladesh,2 wickets,Chattogram,"Mar 11, 2011",ODI # 3127
India,South Africa,South Africa,3 wickets,Nagpur,"Mar 12, 2011",ODI # 3128
Canada,New Zealand,New Zealand,97 runs,Mumbai,"Mar 13, 2011",ODI # 3129
Australia,Kenya,Australia,60 runs,Bengaluru,"Mar 13, 2011",ODI # 3130
Bangladesh,Netherlands,Bangladesh,6 wickets,Chattogram,"Mar 14, 2011",ODI # 3131
Pakistan,Zimbabwe,Pakistan,7 wickets,Pallekele,"Mar 14, 2011",ODI # 3132
Ireland,South Africa,South Africa,131 runs,Kolkata,"Mar 15, 2011",ODI # 3133
Australia,Canada,Australia,7 wickets,Bengaluru,"Mar 16, 2011",ODI # 3134
England,West Indies,England,18 runs,Chennai,"Mar 17, 2011",ODI # 3135
Ireland,Netherlands,Ireland,6 wickets,Kolkata,"Mar 18, 2011",ODI # 3136
New Zealand,Sri Lanka,Sri Lanka,112 runs,Mumbai,"Mar 18, 2011",ODI # 3137
Bangladesh,South Africa,South Africa,206 runs,Dhaka,"Mar 19, 2011",ODI # 3138
Australia,Pakistan,Pakistan,4 wickets,Colombo (RPS),"Mar 19, 2011",ODI # 3139
Kenya,Zimbabwe,Zimbabwe,161 runs,Kolkata,"Mar 20, 2011",ODI # 3140
India,West Indies,India,80 runs,Chennai,"Mar 20, 2011",ODI # 3141
Pakistan,West Indies,Pakistan,10 wickets,Dhaka,"Mar 23, 2011",ODI # 3142
India,Australia,India,5 wickets,Ahmedabad,"Mar 24, 2011",ODI # 3143
New Zealand,South Africa,New Zealand,49 runs,Dhaka,"Mar 25, 2011",ODI # 3144
Sri Lanka,England,Sri Lanka,10 wickets,Colombo (RPS),"Mar 26, 2011",ODI # 3145
Sri Lanka,New Zealand,Sri Lanka,5 wickets,Colombo (RPS),"Mar 29, 2011",ODI # 3146
India,Pakistan,India,29 runs,Mohali,"Mar 30, 2011",ODI # 3147
India,Sri Lanka,India,6 wickets,Mumbai,"Apr 2, 2011",ODI # 3148
New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch,"Feb 14, 2015",ODI # 3599
Australia,England,Australia,111 runs,Melbourne,"Feb 14, 2015",ODI # 3600
South Africa,Zimbabwe,South Africa,62 runs,Hamilton,"Feb 15, 2015",ODI # 3601
India,Pakistan,India,76 runs,Adelaide,"Feb 15, 2015",ODI # 3602
Ireland,West Indies,Ireland,4 wickets,Nelson,"Feb 16, 2015",ODI # 3603
New Zealand,Scotland,New Zealand,3 wickets,Dunedin,"Feb 17, 2015",ODI # 3604
Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,"Feb 18, 2015",ODI # 3605
U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,"Feb 19, 2015",ODI # 3606
New Zealand,England,New Zealand,8 wickets,Wellington,"Feb 20, 2015",ODI # 3607
Pakistan,West Indies,West Indies,150 runs,Christchurch,"Feb 21, 2015",ODI # 3608
Australia,Bangladesh,abandoned,,Brisbane,"Feb 21, 2015",ODI # 3608a
Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin,"Feb 22, 2015",ODI # 3609
India,South Africa,India,130 runs,Melbourne,"Feb 22, 2015",ODI # 3610
England,Scotland,England,119 runs,Christchurch,"Feb 23, 2015",ODI # 3611
West Indies,Zimbabwe,West Indies,73 runs,Canberra,"Feb 24, 2015",ODI # 3612
Ireland,U.A.E.,Ireland,2 wickets,Brisbane,"Feb 25, 2015",ODI # 3613
Afghanistan,Scotland,Afghanistan,1 wicket,Dunedin,"Feb 26, 2015",ODI # 3614
Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,"Feb 26, 2015",ODI # 3615
South Africa,West Indies,South Africa,257 runs,Sydney,"Feb 27, 2015",ODI # 3616
New Zealand,Australia,New Zealand,1 wicket,Auckland,"Feb 28, 2015",ODI # 3617
India,U.A.E.,India,9 wickets,Perth,"Feb 28, 2015",ODI # 3618
England,Sri Lanka,Sri Lanka,9 wickets,Wellington,"Mar 1, 2015",ODI # 3619
Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane,"Mar 1, 2015",ODI # 3620
Ireland,South Africa,South Africa,201 runs,Canberra,"Mar 3, 2015",ODI # 3621
Pakistan,U.A.E.,Pakistan,129 runs,Napier,"Mar 4, 2015",ODI # 3622
Australia,Afghanistan,Australia,275 runs,Perth,"Mar 4, 2015",ODI # 3623
Bangladesh,Scotland,Bangladesh,6 wickets,Nelson,"Mar 5, 2015",ODI # 3624
India,West Indies,India,4 wickets,Perth,"Mar 6, 2015",ODI # 3625
Pakistan,South Africa,Pakistan,29 runs,Auckland,"Mar 7, 2015",ODI # 3626
Ireland,Zimbabwe,Ireland,5 runs,Hobart,"Mar 7, 2015",ODI # 3627
New Zealand,Afghanistan,New Zealand,6 wickets,Napier,"Mar 8, 2015",ODI # 3628
Australia,Sri Lanka,Australia,64 runs,Sydney,"Mar 8, 2015",ODI # 3629
Bangladesh,England,Bangladesh,15 runs,Adelaide,"Mar 9, 2015",ODI # 3630
India,Ireland,India,8 wickets,Hamilton,"Mar 10, 2015",ODI # 3631
Scotland,Sri Lanka,Sri Lanka,148 runs,Hobart,"Mar 11, 2015",ODI # 3632
South Africa,U.A.E.,South Africa,146 runs,Wellington,"Mar 12, 2015",ODI # 3633
New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton,"Mar 13, 2015",ODI # 3634
Afghanistan,England,England,9 wickets,Sydney,"Mar 13, 2015",ODI # 3635
India,Zimbabwe,India,6 wickets,Auckland,"Mar 14, 2015",ODI # 3636
Australia,Scotland,Australia,7 wickets,Hobart,"Mar 14, 2015",ODI # 3637
U.A.E.,West Indies,West Indies,6 wickets,Napier,"Mar 15, 2015",ODI # 3638
Ireland,Pakistan,Pakistan,7 wickets,Adelaide,"Mar 15, 2015",ODI # 3639
South Africa,Sri Lanka,South Africa,9 wickets,Sydney,"Mar 18, 2015",ODI # 3640
Bangladesh,India,India,109 runs,Melbourne,"Mar 19, 2015",ODI # 3641
Australia,Pakistan,Australia,6 wickets,Adelaide,"Mar 20, 2015",ODI # 3642
New Zealand,West Indies,New Zealand,143 runs,Wellington,"Mar 21, 2015",ODI # 3643
New Zealand,South Africa,New Zealand,4 wickets,Auckland,"Mar 24, 2015",ODI # 3644
Australia,India,Australia,95 runs,Sydney,"Mar 26, 2015",ODI # 3645
Australia,New Zealand,Australia,7 wickets,Melbourne,"Mar 29, 2015",ODI # 3646
England,South Africa,England,104 runs,The Oval,"May 30, 2019",ODI # 4143
Pakistan,West Indies,West Indies,7 wickets,Nottingham,"May 31, 2019",ODI # 4144
New Zealand,Sri Lanka,New Zealand,10 wickets,Cardiff,"Jun 1, 2019",ODI # 4145
Afghanistan,Australia,Australia,7 wickets,Bristol,"Jun 1, 2019",ODI # 4146
Bangladesh,South Africa,Bangladesh,21 runs,The Oval,"Jun 2, 2019",ODI # 4147
England,Pakistan,Pakistan,14 runs,Nottingham,"Jun 3, 2019",ODI # 4148
Afghanistan,Sri Lanka,Sri Lanka,34 runs,Cardiff,"Jun 4, 2019",ODI # 4149
India,South Africa,India,6 wickets,Southampton,"Jun 5, 2019",ODI # 4150
Bangladesh,New Zealand,New Zealand,2 wickets,The Oval,"Jun 5, 2019",ODI # 4151
Australia,West Indies,Australia,15 runs,Nottingham,"Jun 6, 2019",ODI # 4152
Pakistan,Sri Lanka,abandoned,,Bristol,"Jun 7, 2019",ODI # 4152a
England,Bangladesh,England,106 runs,Cardiff,"Jun 8, 2019",ODI # 4153
Afghanistan,New Zealand,New Zealand,7 wickets,Taunton,"Jun 8, 2019",ODI # 4154
Australia,India,India,36 runs,The Oval,"Jun 9, 2019",ODI # 4155
South Africa,West Indies,no result,,Southampton,"Jun 10, 2019",ODI # 4156
Bangladesh,Sri Lanka,abandoned,,Bristol,"Jun 11, 2019",ODI # 4156a
Australia,Pakistan,Australia,41 runs,Taunton,"Jun 12, 2019",ODI # 4157
India,New Zealand,abandoned,,Nottingham,"Jun 13, 2019",ODI # 4157a
England,West Indies,England,8 wickets,Southampton,"Jun 14, 2019",ODI # 4158
Australia,Sri Lanka,Australia,87 runs,The Oval,"Jun 15, 2019",ODI # 4159
Afghanistan,South Africa,South Africa,9 wickets,Cardiff,"Jun 15, 2019",ODI # 4160
India,Pakistan,India,89 runs,Manchester,"Jun 16, 2019",ODI # 4161
Bangladesh,West Indies,Bangladesh,7 wickets,Taunton,"Jun 17, 2019",ODI # 4162
England,Afghanistan,England,150 runs,Manchester,"Jun 18, 2019",ODI # 4163
New Zealand,South Africa,New Zealand,4 wickets,Birmingham,"Jun 19, 2019",ODI # 4165
Australia,Bangladesh,Australia,48 runs,Nottingham,"Jun 20, 2019",ODI # 4166
England,Sri Lanka,Sri Lanka,20 runs,Leeds,"Jun 21, 2019",ODI # 4168
Afghanistan,India,India,11 runs,Southampton,"Jun 22, 2019",ODI # 4169
New Zealand,West Indies,New Zealand,5 runs,Manchester,"Jun 22, 2019",ODI # 4170
Pakistan,South Africa,Pakistan,49 runs,Lord's,"Jun 23, 2019",ODI # 4171
Afghanistan,Bangladesh,Bangladesh,62 runs,Southampton,"Jun 24, 2019",ODI # 4172
England,Australia,Australia,64 runs,Lord's,"Jun 25, 2019",ODI # 4173
New Zealand,Pakistan,Pakistan,6 wickets,Birmingham,"Jun 26, 2019",ODI # 4174
India,West Indies,India,125 runs,Manchester,"Jun 27, 2019",ODI # 4175
South Africa,Sri Lanka,South Africa,9 wickets,Chester-le-Street,"Jun 28, 2019",ODI # 4176
Afghanistan,Pakistan,Pakistan,3 wickets,Leeds,"Jun 29, 2019",ODI # 4177
Australia,New Zealand,Australia,86 runs,Lord's,"Jun 29, 2019",ODI # 4178
England,India,England,31 runs,Birmingham,"Jun 30, 2019",ODI # 4179
Sri Lanka,West Indies,Sri Lanka,23 runs,Chester-le-Street,"Jul 1, 2019",ODI # 4180
Bangladesh,India,India,28 runs,Birmingham,"Jul 2, 2019",ODI # 4182
England,New Zealand,England,119 runs,Chester-le-Street,"Jul 3, 2019",ODI # 4183
Afghanistan,West Indies,West Indies,23 runs,Leeds,"Jul 4, 2019",ODI # 4184
Bangladesh,Pakistan,Pakistan,94 runs,Lord's,"Jul 5, 2019",ODI # 4186
India,Sri Lanka,India,7 wickets,Leeds,"Jul 6, 2019",ODI # 4187
Australia,South Africa,South Africa,10 runs,Manchester,"Jul 6, 2019",ODI # 4188
India,New Zealand,New Zealand,18 runs,Manchester,"Jul 9-10, 2019",ODI # 4190
England,Australia,England,8 wickets,Birmingham,"Jul 11, 2019",ODI # 4191
England,New Zealand,tied,,Lord's,"Jul 14, 2019",ODI # 4192
